+-------------------------------------------------------------------------+--------+----------+--------+----------------+--------+------------------+
|                                  文件名                                 | 原类名 | 预测类名 | 类别1  |     概率1      | 类别2  |      概率2       |
+-------------------------------------------------------------------------+--------+----------+--------+----------------+--------+------------------+
|                     【希腊】希腊银行“关”到下周一.txt                    | 03国际 |  03国际  | 03国际 | 0.345999282068 | 03国际 |  0.139666114899  |
|              【涉嫌】防范朋友圈阿诈里 不能只看脸熟不熟.txt              | 06法治 |  06法治  | 01政治 | 0.344292886405 | 06法治 |  0.118180666932  |
|                  【伊斯兰国】IS刽子手是英国大学生？.txt                 | 03国际 |  03国际  | 03国际 | 0.351718674111 | 01政治 |  0.109494333814  |
|                 【举办】【展】中国家博会首度移师上海.txt                | 04文化 |  04文化  | 04文化 | 0.239894874593 | 01政治 |  0.16344063288   |
|                   【侵权】肯德基状告10个微信公众号.txt                  | 06法治 |  06法治  | 01政治 | 0.17497766868  | 06法治 |  0.141161996941  |
|            【人大】十二届人大四次会议 明年3月5日在京召开.txt            | 01政治 |  01政治  | 03国际 | 0.604194784938 | 03国际 | 0.0908060752177  |
|                  便携打印机：“爬”过纸上就能留下文档.txt                 | 07科技 |  02经济  | 06法治 | 0.137111501982 | 03国际 |  0.129778728572  |
|               [政治]【外交】在亚欧大陆架起友谊合作之桥.txt              | 01政治 |  01政治  | 03国际 | 0.250746026921 | 04文化 |  0.135684020567  |
|                      【安倍】村山演讲 抗议安倍.txt                      | 03国际 |  03国际  | 03国际 | 0.686928172629 | 03国际 | 0.0806034187056  |
|               【交响乐团】“净网”出重拳，新浪涉黄受重罚.txt              | 04文化 |  06法治  | 01政治 | 0.212802774704 | 06法治 |  0.142250655443  |
|                         “航班终结在南印度洋”.txt                        | 03国际 |  03国际  | 03国际 | 0.495386167319 | 03国际 |  0.126935023438  |
|                  [政治]【外交】美国驻华大使抵京履新.txt                 | 01政治 |  01政治  | 03国际 | 0.267375941331 | 03国际 |  0.173879939457  |
|            【国际】【俄罗斯+乌克兰】东欧芭蕾跳脱循规蹈矩.txt            | 03国际 |  04文化  | 04文化 | 0.178044380418 | 03国际 |  0.15511910665   |
|                   【人大】做好选民与政府间的“桥梁”.txt                  | 01政治 |  01政治  | 03国际 | 0.15936111235  | 03国际 |  0.149205793609  |
|                    【全市】民生档案通办受理点扩容.txt                   | 05社会 |  01政治  | 03国际 | 0.228305299063 | 04文化 |  0.175674876397  |
|                    【交响乐团】80米长廊 135年文脉.txt                   | 04文化 |  04文化  | 04文化 | 0.371759878269 | 01政治 |  0.123984785627  |
|                            【人生】青 菜.txt                            | 05社会 |  03国际  | 03国际 | 0.135204579674 | 01政治 |  0.13085752871   |
|                 【拘留】面对歹徒，“英勇五人组”没退缩.txt                | 06法治 |  06法治  | 01政治 | 0.144133052352 | 03国际 |  0.131085600252  |
|                【企业】他为有效监管垄断企业提供工具箱.txt               | 02经济 |  02经济  | 06法治 | 0.171051211993 | 03国际 |  0.151858342707  |
|                  【一中院】盛大状告手游《天尊》侵权.txt                 | 06法治 |  06法治  | 01政治 | 0.277966010167 | 06法治 |  0.144699335911  |
|                     【执法】夜间上门堵老赖促执行.txt                    | 06法治 |  06法治  | 01政治 | 0.494270978107 | 03国际 | 0.0898265839882  |
|                   【公诉】窃走4000元罗汉松低价转卖.txt                  | 06法治 |  06法治  | 01政治 | 0.283743683559 | 01政治 |  0.129604097554  |
|                【国际】【空军】美韩今起大规模联合空演.txt               | 09军事 |  03国际  | 03国际 | 0.306794401199 | 03国际 |  0.154883727982  |
|                       【企业】多些雪中送炭更好.txt                      | 02经济 |  02经济  | 06法治 | 0.183285382429 | 03国际 |  0.15055020336   |
|                【虚假】6月1日起，药品政府定价予以取消.txt               | 06法治 |  02经济  | 06法治 | 0.174403078469 | 01政治 |  0.160458654535  |
|                      【农民】有蟹有米又修复土壤.txt                     | 05社会 |  05社会  | 06法治 | 0.137929349704 | 06法治 |  0.136511783497  |
|                【广电总局】清理整顿新闻单位驻地方机构.txt               | 04文化 |  01政治  | 03国际 |  0.2588138493  | 01政治 |  0.149067932736  |
