+-------------------------------------------------------------------------+--------+----------+--------+--------------------+--------+-------------------+
|                                  文件名                                 | 原类名 | 预测类名 | 类别1  |       概率1        | 类别2  |       概率2       |
+-------------------------------------------------------------------------+--------+----------+--------+--------------------+--------+-------------------+
|                     【希腊】希腊银行“关”到下周一.txt                    | 03国际 |  03国际  | 03国际 |   0.254537234424   | 01政治 |  -0.626377439643  |
|              【涉嫌】防范朋友圈阿诈里 不能只看脸熟不熟.txt              | 06法治 |  06法治  | 01政治 |   0.575784024436   | 06法治 |  -0.657131838181  |
|                  【伊斯兰国】IS刽子手是英国大学生？.txt                 | 03国际 |  03国际  | 03国际 |   0.117047947516   | 06法治 |  -0.787747556631  |
|                 【举办】【展】中国家博会首度移师上海.txt                | 04文化 |  04文化  | 04文化 |   0.143932648416   | 06法治 |  -0.722238590114  |
|                   【侵权】肯德基状告10个微信公众号.txt                  | 06法治 |  06法治  | 01政治 |  -0.235141928018   | 06法治 |  -0.649990885812  |
|            【人大】十二届人大四次会议 明年3月5日在京召开.txt            | 01政治 |  01政治  | 03国际 |   0.491482865053   | 01政治 |  -0.767528318167  |
|                  便携打印机：“爬”过纸上就能留下文档.txt                 | 07科技 |  07科技  | 07科技 |  -0.442116266692   | 06法治 |  -0.644204719132  |
|               [政治]【外交】在亚欧大陆架起友谊合作之桥.txt              | 01政治 |  01政治  | 03国际 |   -0.32916182513   | 04文化 |  -0.558813771038  |
|                      【安倍】村山演讲 抗议安倍.txt                      | 03国际 |  03国际  | 03国际 |   0.827892281629   | 04文化 |  -0.700324621382  |
|               【交响乐团】“净网”出重拳，新浪涉黄受重罚.txt              | 04文化 |  06法治  | 01政治 |  -0.0608575662879  | 06法治 |   -0.60194047482  |
|                         “航班终结在南印度洋”.txt                        | 03国际 |  03国际  | 03国际 |   0.570313567661   | 03国际 |  -0.744952617447  |
|                  [政治]【外交】美国驻华大使抵京履新.txt                 | 01政治 |  01政治  | 03国际 |  -0.475936023071   | 03国际 |  -0.534168762504  |
|            【国际】【俄罗斯+乌克兰】东欧芭蕾跳脱循规蹈矩.txt            | 03国际 |  04文化  | 04文化 |  -0.228443308897   | 03国际 |  -0.622530854294  |
|                   【人大】做好选民与政府间的“桥梁”.txt                  | 01政治 |  01政治  | 03国际 |  -0.583088385349   | 06法治 |  -0.631436019812  |
|                    【全市】民生档案通办受理点扩容.txt                   | 05社会 |  04文化  | 04文化 |  -0.250324568569   | 06法治 |  -0.595341362391  |
|                    【交响乐团】80米长廊 135年文脉.txt                   | 04文化 |  04文化  | 04文化 |   0.550963548303   | 06法治 |  -0.869890349102  |
|                            【人生】青 菜.txt                            | 05社会 |  05社会  | 06法治 |  -0.604745932468   | 04文化 |  -0.645473801914  |
|                 【拘留】面对歹徒，“英勇五人组”没退缩.txt                | 06法治 |  06法治  | 01政治 |  -0.584132865266   | 06法治 |   -0.60877163277  |
|                【企业】他为有效监管垄断企业提供工具箱.txt               | 02经济 |  02经济  | 06法治 |  -0.219914109791   | 03国际 |  -0.668684436887  |
|                  【一中院】盛大状告手游《天尊》侵权.txt                 | 06法治 |  06法治  | 01政治 |  -0.155240864535   | 06法治 |  -0.416866064484  |
|                     【执法】夜间上门堵老赖促执行.txt                    | 06法治 |  06法治  | 01政治 |   1.34196469121    | 06法治 |   -1.00035001746  |
|                   【公诉】窃走4000元罗汉松低价转卖.txt                  | 06法治 |  06法治  | 01政治 |   0.129653478141   | 04文化 |  -0.783826800372  |
|                【国际】【空军】美韩今起大规模联合空演.txt               | 09军事 |  03国际  | 03国际 |  -0.179491591166   | 03国际 |  -0.371431910989  |
|                       【企业】多些雪中送炭更好.txt                      | 02经济 |  02经济  | 06法治 |  -0.0741409543516  | 01政治 |  -0.763080054487  |
|                【虚假】6月1日起，药品政府定价予以取消.txt               | 06法治 |  02经济  | 06法治 |  -0.318619511341   | 01政治 |  -0.549597473546  |
|                      【农民】有蟹有米又修复土壤.txt                     | 05社会 |  05社会  | 06法治 |   -0.4447431824    | 06法治 |  -0.672154066662  |
|                【广电总局】清理整顿新闻单位驻地方机构.txt               | 04文化 |  01政治  | 03国际 |  -0.0366365141317  | 01政治 |  -0.665368555106  |
|             [政治]【外交】【张德江】张德江马特维延科出席.txt            | 01政治 |  01政治  | 03国际 |   0.310894161551   | 06法治 |   -0.71284621591  |
|         [政治]【外交】【彭丽媛】彭丽媛邀外方政要夫人参观首博.txt        | 01政治 |  01政治  | 03国际 |  0.0206641713392   | 04文化 |  -0.289709017203  |
|                    【终端】联想的学霸是怎样炼成的.txt                   | 07科技 |  02经济  | 06法治 |  -0.486065473352   | 07科技 |  -0.602704995456  |
|                【乌克兰】乌拟从克撤军并考虑退出独联体.txt               | 03国际 |  03国际  | 03国际 |   0.599230687118   | 03国际 |  -0.866509849425  |
|               【体育】【冬奥会】索契冬奥会的三道“猜想”.txt              | 08体育 |  08体育  | 01政治 |   0.558328207211   | 03国际 |  -0.692771937723  |
|                    【TPP】霸权思维拗不过合作现实.txt                    | 02经济 |  02经济  | 06法治 |  -0.144330703366   | 03国际 |  -0.527712279403  |
|                     【涉嫌】反垄断不能只是“研究”.txt                    | 06法治 |  06法治  | 01政治 |  -0.327738707853   | 06法治 |  -0.630198759526  |
|                  【一中院】为为网诉苹果侵权索赔亿元.txt                 | 06法治 |  06法治  | 01政治 |  -0.287609058551   | 06法治 |  -0.561426675248  |
|                      【F1】马青骅加盟雪铁龙车队.txt                     | 08体育 |  08体育  | 01政治 |   0.48992993181    | 06法治 |  -0.871097839496  |
|         [政治]【外交】【习近平】习近平与卡梅伦在乡间别墅长谈.txt        | 01政治 |  01政治  | 03国际 |   0.674318520742   | 01政治 |  -0.512524933471  |
|                     【公交】13路驾驶员编防扒宝典.txt                    | 05社会 |  05社会  | 06法治 |  0.0375169443232   | 01政治 |  -0.686678661512  |
|                   【司法】上海全面推进司法改革试点.txt                  | 06法治 |  06法治  | 01政治 |   0.431531889044   | 06法治 |  -0.700695103844  |
|                   【涉嫌】“小三”举报“小四”揪出窝案.txt                  | 06法治 |  06法治  | 01政治 |  -0.300781339685   | 06法治 |  -0.633430235957  |
|             【一带一路】【经济】“一带一路”：欧亚的新机遇.txt            | 02经济 |  02经济  | 06法治 |  -0.509730884543   | 04文化 |   -0.69840448046  |
|                     【日本】日媒曝日朝在越南密会.txt                    | 03国际 |  03国际  | 03国际 |   0.687509273749   | 03国际 |  -0.703796946229  |
|                     【公开赛】都市台球大联赛开杆.txt                    | 08体育 |  08体育  | 01政治 |   1.24237826931    | 07科技 |  -0.978074088442  |
|                       Ⅰ级食品风险监测95.6%合格.txt                      | 05社会 |  02经济  | 06法治 |  -0.375424242784   | 06法治 |  -0.634099007933  |
|                   【俄罗斯】俄总统为俄美关系“定调”.txt                  | 03国际 |  03国际  | 03国际 |   0.992688869439   | 03国际 |   -0.47745331241  |
|          [政治]【外交】任何力量都不能动摇中国和平发展的信念.txt         | 01政治 |  01政治  | 03国际 |  0.0873053238779   | 04文化 |   -0.78517501666  |
|                 【司法】齐齐哈尔市委原秘书长移送司法.txt                | 06法治 |  06法治  | 01政治 |   0.124595008415   | 03国际 |   -0.75785709537  |
|                  【交易】银联卡ATM跨行转账全面开通.txt                  | 02经济 |  02经济  | 06法治 |   -0.44498879611   | 01政治 |  -0.599329375601  |
|                【剧团】国际木偶艺术节 首次开卖公益票.txt                | 04文化 |  04文化  | 04文化 |   -0.10824149813   | 06法治 |  -0.775017119053  |
|          【企业】2014年度上海中小企业 融资服务优秀合作伙伴.txt          | 02经济 |  02经济  | 06法治 |   0.105498761478   | 04文化 |   -0.14772717303  |
|      【兜售】兜售假名表称为女筹手术费 缓刑期内重操旧业被判入狱.txt      | 06法治 |  06法治  | 01政治 |   0.282208347466   | 06法治 |  -0.790178077003  |
|         【举办】【展】手稿文献交上图收藏  捐赠仪式展叶氏幽默.txt        | 04文化 |  04文化  | 04文化 |   0.188387681168   | 06法治 |  -0.775688598974  |
|                    【企业】“吃企业”缘于权力加侥幸.txt                   | 02经济 |  02经济  | 06法治 |  -0.0249082751439  | 01政治 |  -0.604811884143  |
|                       “中国梦·我的梦”主题演讲.txt                       | 04文化 |  04文化  | 04文化 |   0.328400514082   | 01政治 |  -0.821356261414  |
|                  【产量】“金九”车市：名不虚传成色足.txt                 | 02经济 |  02经济  | 06法治 |   0.37299821605    | 06法治 |   -0.82693981255  |
|            【核射线】核射线检查辐射计量 远低于X光和CT检查.txt           | 07科技 |  05社会  | 06法治 |  -0.303477922953   | 07科技 |  -0.673829832544  |
|                  【侵权】微信朋友圈里辱骂他人也侵权.txt                 | 06法治 |  06法治  | 01政治 |   0.135385138882   | 06法治 |  -0.547487154315  |
|                    【日本】日官民应对监听有“温差”.txt                   | 03国际 |  03国际  | 03国际 |   0.25357351232    | 03国际 |   -0.66330667418  |
|                 【3D打印】普利生3D打印速度10倍于同行.txt                | 07科技 |  07科技  | 07科技 |  -0.220307676096   | 04文化 |  -0.620192051789  |
|                  【安倍】安倍宣布将解散众院提前大选.txt                 | 03国际 |  03国际  | 03国际 |   1.02942335591    | 01政治 |  -0.918016248138  |
|                     【公安部】正确看待不动产登记.txt                    | 06法治 |  04文化  | 04文化 |  -0.637375304949   | 06法治 |  -0.646883939794  |
|            [政治]【外交】【会见】支持阿人民选择的发展道路.txt           | 01政治 |  01政治  | 03国际 |   0.51832684098    | 01政治 |  -0.871211692019  |
|                     【受贿】谷俊山一审被判处死缓.txt                    | 06法治 |  06法治  | 01政治 |   0.189784944818   | 03国际 |  -0.710242126804  |
|                    【文化】《德政之要》销量过万本.txt                   | 04文化 |  04文化  | 04文化 |   0.071034337151   | 06法治 |  -0.789588055446  |
|              【CPI】【经济】首季度经济增速可能低于预期.txt              | 02经济 |  02经济  | 06法治 |  -0.334437992416   | 04文化 |  -0.709541173645  |
|                      【博物馆】上博将有“淘宝店”.txt                     | 04文化 |  04文化  | 04文化 |  -0.348956888227   | 06法治 |   -0.57382085595  |
|                  [政治]【外交】主动融入全球创新浪潮.txt                 | 01政治 |  02经济  | 06法治 |  -0.377390790044   | 07科技 |  -0.382187691796  |
|                      【北约】北约谋永久驻军东欧.txt                     | 03国际 |  03国际  | 03国际 |   0.240659548344   | 03国际 |  -0.697134701567  |
|                【企业】自我管理服务，“我的地盘我做主”.txt               | 02经济 |  02经济  | 06法治 |  -0.0302221288028  | 07科技 |  -0.687604477724  |
|                 【保税区】二手车牌拍卖：需使用满三年.txt                | 02经济 |  02经济  | 06法治 |  -0.119062938607   | 04文化 |  -0.606105982447  |
|                 【终端】沿着航路架基站万米高空可上网.txt                | 07科技 |  02经济  | 06法治 |  -0.144931817895   | 07科技 |  -0.468536348231  |
|                   【企业】国内优势企业“落沪”意愿强.txt                  | 02经济 |  02经济  | 06法治 |   0.128324018163   | 04文化 |  -0.637665262583  |
|                【伊拉克】伊拉克危机令原油市场“绷紧弦”.txt               | 03国际 |  03国际  | 03国际 |  -0.146278741483   | 06法治 |  -0.470952555659  |
|                     【世界杯】鏖战前的黎明静悄悄.txt                    | 08体育 |  08体育  | 01政治 |  -0.0726782686252  | 06法治 |  -0.746058574456  |
|                       32批次充电宝安全都有问题.txt                      | 06法治 |  02经济  | 06法治 |  -0.417434989293   | 03国际 |   -0.61865369832  |
|              【涉嫌】瑞海违法经营 审批监管“帮助”“放纵”.txt              | 06法治 |  06法治  | 01政治 |  -0.297540389066   | 06法治 |  -0.509158517927  |
